string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_9,string_field_10,DistCoast,DistLakeMal,DistRuk,DistTang,DistVik,DistCoast1,DistMal1,DistRuk1,DistTang1,DistVik1,Distance,tolink
SawfrkeRBdE,Bhoke Dispensary,Bhoke Dispensary,109869-8,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.873722,-2.022725]",662.4510308,826.3717217,637.525385,525.0422837,10.5055608,,,,,,10.5055608,
aBBWO3Bz0Aj,Kabale Maternity Home,Kabale Maternity Home,109456-4,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Clinics,"[33.861347,-2.014353]",664.096449,827.3278752,637.8872923,523.9923424,9.99672389,,,,,,9.99672389,
clAJNDzmfFl,Bunda Magereza Dispensary,Bunda Magereza Dispensary,109824-3,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,,"[33.871788,-1.995047]",664.0173643,829.4361581,640.2979668,525.7268194,12.31639163,,,,,,12.31639163,
EjZD7SsI8d5,Sazira Dispensary,Sazira Dispensary,107321-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8984,-2.0038]",660.9384364,828.4096531,640.4776787,528.2757626,13.95288904,,,,,13.95288904,13.95288904,
V1bYAeURhvd,Wariku Dispensary,Wariku Dispensary,102325-8,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.7778,-1.93633]",676.2788825,836.2163823,642.6677483,517.7045059,14.65828796,,,,,14.65828796,14.65828796,
U0N29PYIImp,Kunzugu Dispensary,Kunzugu Dispensary,103340-6,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.9156,-2.05159]",656.8570486,823.0934334,636.2762664,528.6018128,12.73090411,,,,,12.73090411,12.73090411,
a9elKuasvRq,Bunda Health Center,Bunda Health Center,100565-1,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Health Center,"[33.8704,-2.01727]",663.0514422,826.9827754,637.952487,524.8626801,10.5583995,,,,,10.5583995,10.5583995,
c2f6lyOv3Yx,Faraja Primate Maternity Home,Faraja Primate Maternity Home,109457-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Clinics,"[33.868813,-2.027561]",662.7007631,825.8489997,636.8283708,524.3653308,9.75510412,,,,,,9.75510412,
Q4p9ny3KLxF,Mcharo Dispensary,Mcharo Dispensary,104688-7,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.9459,-2.01478]",655.6761627,827.1165737,641.3116244,532.9866173,17.84687614,,,,,17.84687614,17.84687614,
X6Z5rhjs124,Ukombozi Dispensary,Ukombozi Dispensary,108055-5,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8737,-2.02268]",662.4554452,826.3767489,637.5291255,525.0413742,10.50630202,,,,,,10.50630202,
FoTxgdIYDVk,Bunda DDH Hospital,Bunda DDH Hospital,100566-9,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Hospital,"[33.8755,-2.02994]",661.9176281,825.5698791,636.8548517,525.0023987,10.24547538,,,,,10.24547538,10.24547538,
zDL0oyn7eeZ,Nyamatoke Dispensary,Nyamatoke Dispensary,106704-0,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[34.0007,-2.04034]",648.960803,824.2404748,640.9915834,538.0402449,21.44890162,,,,,21.44890162,21.44890162,
tIWE2K9eqK2,Tamau Dispensary,Tamau Dispensary,107723-9,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8338,-2.12219]",661.610077,815.4843578,625.6647854,517.7022802,0.80145575,,,,,0.80145575,0.80145575,
XmZ0g67za7i,Boma Dispensary,Boma Dispensary,100393-8,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8627,-2.02401]",663.4845892,826.2568674,636.9467966,523.8272039,9.42508935,,,,,9.42508935,9.42508935,
N0p567Ddj3s,Manyamanyama Health Center,Manyamanyama Health Center,104277-9,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Health Center,"[33.8588,-1.97732]",666.1916449,831.4282905,641.6036289,524.9244957,12.93668208,,,,,12.93668208,12.93668208,
LW7O2RgVGE0,Kabasa Dispensary,Kabasa Dispensary,102137-7,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8146,-1.97002]",670.9442309,832.3640763,640.6057665,520.470838,11.67281052,,,,,11.67281052,11.67281052,
F3oxeP8uWvw,Guta Dispensary,Guta Dispensary,101277-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.7345,-2.0741]",673.8699468,821.1711759,626.7078225,508.5749173,1.08469926,,,,,1.08469926,1.08469926,
wc6fN6wwgWa,Victory Dispensary,Victory Dispensary,108245-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8557,-2.0379]",663.4982414,824.73962,635.2329772,522.6398146,7.9086744,,,,,,7.9086744,
Sq4Cb4pdCPU,Mkono Dispensary,Mkono Dispensary,105109-3,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8738,-2.02497]",662.3322919,826.1233503,637.2974139,524.979102,10.37628556,,,,,,10.37628556,
R9Kn038LSCG,AICT Dispensary,AICT Dispensary,100061-1,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.872,-2.01881]",662.8160428,826.8086543,637.8586892,524.9838154,10.59791946,,,,,10.59791946,10.59791946,
nN8HSW1TkAa,Nywatwali Health Center,Nywatwali Health Center,109422-6,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Health Center,"[33.835528,-2.157779]",659.7487425,811.5453133,622.0724784,516.8348219,0.37084881,,,,,0.37084881,0.37084881,
Og1p87tnYQv,Mihale Dispensary,Mihale Dispensary,104886-7,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[34.0341,-2.01715]",646.8236458,826.7961506,644.7826001,542.3238822,25.92463272,,,,,25.92463272,25.92463272,
qeGuI1TEJPj,Sabeeve Prinmart Clinic,Sabeeve Prinmart,111235-8,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Clinics,"[32.234226,-2.867422]",798.8460753,759.3569287,502.5588863,325.6442238,24.11605709,,,,,,24.11605709,
fu4TCx6VH5c,ST. Peter Dispensary,ST. Peter Disp,107623-1,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.23013,-2.900802]",798.2282906,755.9138442,498.8406355,324.5621374,25.50547645,,,,,,25.50547645,
ysAeh9onkRn,Tumaini Dispensary,Tumaini Dispensary,107920-1,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.230158,-2.876494]",798.9912567,758.506855,501.5149741,325.023081,24.1537756,,,,,,24.1537756,
FyWUmgCg9lD,Upendo Health Center,Upendo Health Center,108127-2,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Health Center,"[32.287075,-2.867892]",793.2055597,757.794505,503.1399237,331.4200996,29.56551406,,,,,,29.56551406,
gRSA7Bf3Xfj,Msufini Dispensary,Msufini Dispensary,111233-3,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.228942,-2.88246]",798.9320595,757.9056175,500.8449778,324.7755362,24.34751498,,,,,,24.34751498,
qs1XBDqfeMT,Geita TMC Dispensary,Geita TMC Dispensary,111240-8,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.226055,-2.874105]",799.5040005,758.8813283,501.7318282,324.6200719,23.62716181,,,,,,23.62716181,
xCq0M97gaVq,GGM Health Center,GGM Health Center,101193-1,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Health Center,"[32.18563,-2.86642]",804.0535961,760.891145,502.1470902,320.3474263,19.29294816,,,,,,19.29294816,
yPyWzihu7Hg,Samartan Dispendary,Samartan Disp,111238-2,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.26812,-2.881268]",794.7966264,756.9025031,501.4350371,329.0893749,28.17935856,,,,,,28.17935856,
bljCmR5MuD7,Afana Eye Care,Afana Eye Care,110995-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.441458,-8.895922]",645.0546205,90.88417766,70.64180567,247.3004736,649.8185518,,,,,,70.64180567,
hvGVSkQZF9i,Mzumbe University Dispensary,Mzumbe University Dispensary,110740-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.446975,-8.908786]",644.581388,89.4026363,71.99806192,248.0272417,651.3009196,,,,,,71.99806192,
r9wGteveAlJ,Siloamu Maternity Home ,Siloamu Maternity Home ,110992-5,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.469651,-8.89162]",641.9232797,89.3098692,72.83356083,250.3522084,649.7037847,,,,,,72.83356083,
Zphj97mAPeI,Lutheran Dispensary,Lutheran Dispensary,104599-6,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.5606,-8.8967]",632.0139022,82.96465484,81.43252401,260.3686515,651.5160942,,,,,,81.43252401,
