Lake_or_coast,Region,District,Type,month,year,weightMT,monthinyear
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Jan,2019,"699.9675
6",1
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Feb,2019,"919.9521
1",2
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Mar,2019,"1073.258
3",3
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Apr,2019,1748.22,4
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),May,2019,1192.69,5
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Jun,2019,1518.62,6
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Jul,2019,855.5734,7
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Aug,2019,"1057.126
3",8
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Sep,2019,841.1201,9
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Oct,2019,"845.4894
3",10
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Nov,2019,"809.0284
8",11
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Dec,2019,"589.1129
2",12
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Jan,2020,731.97,1
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Feb,2020,962.01,2
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Mar,2020,1122.32,3
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Apr,2020,1828.14,4
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),May,2020,1247.21,5
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Jun,2020,1588.04,6
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Jul,2020,894.69,7
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Aug,2020,1105.45,8
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Sep,2020,879.57,9
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Oct,2020,884.13,10
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Nov,2020,846.01,11
Coast,Dar es Salaam Region,Ilala Municipal Council,WEIGHT (MT),Dec,2020,616.04,12
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Jan,2019,"315.9719
5",1
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Feb,2019,"375.1764
5",2
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Mar,2019,354.4451,3
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Apr,2019,"353.2262
9",4
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),May,2019,"396.0227
8",5
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Jun,2019,478.7297,6
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Jul,2019,"338.3820
5",7
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Aug,2019,"388.9168
6",8
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Sep,2019,"329.2409
4",9
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Oct,2019,"321.6865
8",10
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Nov,2019,"326.3203
8",11
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Dec,2019,"493.7694
2",12
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Jan,2020,330.42,1
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Feb,2020,392.33,2
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Mar,2020,370.65,3
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Apr,2020,369.37,4
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),May,2020,414.13,5
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Jun,2020,500.61,6
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Jul,2020,353.85,7
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Aug,2020,406.7,8
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Sep,2020,344.29,9
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Oct,2020,336.39,10
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Nov,2020,341.24,11
Coast,Dar es Salaam Region,Kigamboni Municipal Council,WEIGHT (MT),Dec,2020,516.34,12
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Jan,2019,"309.2684
7",1
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Feb,2019,"101.3800
8",2
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Mar,2019,"327.2862
3",3
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Apr,2019,"443.8095
1",4
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),May,2019,"179.0852
7",5
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Jun,2019,"230.0570
2",6
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Jul,2019,"334.5646
3",7
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Aug,2019,"375.6708
8",8
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Sep,2019,"494.4018
2",9
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Oct,2019,"337.8876
2",10
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Nov,2019,"239.7615
4",11
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Dec,2019,"193.1361
3",12
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Jan,2020,323.41,1
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Feb,2020,106.01,2
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Mar,2020,342.25,3
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Apr,2020,464.1,4
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),May,2020,187.27,5
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Jun,2020,240.57,6
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Jul,2020,349.86,7
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Aug,2020,392.84,8
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Sep,2020,517,9
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Oct,2020,353.33,10
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Nov,2020,250.72,11
Coast,Dar es Salaam Region,Kinondoni Municipal Council,WEIGHT (MT),Dec,2020,201.97,12
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Jan,2019,322.66,1
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Feb,2019,293.93,2
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Mar,2019,315.7,3
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Apr,2019,229.62,4
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),May,2019,300.32,5
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Jun,2019,351.19,6
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Jul,2019,227.73,7
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Aug,2019,264.82,8
Coast,Lindi Region,Kilwa District Council,WEIGHT (MT),Sep,2019,194.99,9
